date,code,name,env,current_verdict,baseline_verdict,current_score,baseline_score,ret3,ret5,ret3_bucket,trend_structure,price_position,volume_behavior,previous_abnormal_move,macd_phase,signal,signal_type,daily_macd_phase_type,daily_macd_wave_index,daily_macd_wave_stage,daily_macd_rising_or_falling,daily_macd_bottom_divergence,daily_macd_top_divergence,weekly_macd_phase_type,weekly_macd_wave_index,weekly_macd_wave_stage,weekly_macd_bottom_divergence,weekly_macd_top_divergence,weekly_daily_combo_type,price_vs_90d_high,price_vs_90d_low,price_vs_90d_mid,midline_state,midline_breakout_volume_ratio,breakout_above_90d_mid_with_volume,pullback_confirm_vs_90d_mid,close_vs_ma25,close_vs_ma60,ma25_vs_ma60,ma25_slope_5d,ma60_slope_5d,support_stack_type,range_compression_20d,range_compression_40d,days_since_last_high,days_since_last_low,volume_ratio_5d,volume_ratio_10d,turnover_rate,turnover_rate_ratio_5d,daily_pct_chg,daily_macd_hist,daily_macd_hist_prev,daily_macd_hist_state,price_up_1d,turnover_up_1d,price_turnover_state,k_value,d_value,j_value,j_vs_k,j_vs_d,j_overheat,j_repair_from_low,bbi_bfq,close_vs_bbi,bbi_bias_state,bias1_bfq,bias2_bfq,bias3_bfq,bias_bucket,obv_bfq,obv_ratio_5d,obv_state
2026-03-02,002615.SZ,,strong,WATCH,WATCH,4.09,4.09,-1.92,-7.04,D,4.0,5.0,4.0,5.0,3.22,B2,trend_start,rising,1,背离,rising,False,True,rising,0,强势,False,False,rising:0|rising:1,-4.29,25.91,8.75,above_hold,1.31,False,False,7.5,14.6,6.6,3.39,1.14,bull_stack,0.24,0.18,5,45,1.31,1.0,7.29,1.31,4.92,0.01,0.0,red_expanding,True,True,price_turnover_rise,51.74,56.01,43.19,-8.55,-12.82,False,False,9.07,3.38,above_extended,1.96,3.13,7.15,neutral,2005.62,1.0,flat
2026-03-02,002826.SZ,,strong,PASS,PASS,4.44,4.44,1.05,5.75,C,4.0,5.0,4.0,5.0,3.68,B3,rebound,falling,4,金叉临近,falling,False,False,rising,4,背离,False,False,rising:4|falling:4,-4.58,20.72,6.59,above_hold,1.1,False,False,4.67,10.59,5.65,2.32,0.85,bull_stack,0.23,0.2,10,45,1.1,1.09,5.68,1.1,-2.05,-0.0,-0.0,green_or_zero,False,False,mixed,53.89,50.53,60.62,6.73,10.09,False,False,20.68,1.7,above,1.75,0.99,4.47,neutral,572.48,1.0,flat
2026-03-02,002921.SZ,,strong,WATCH,WATCH,4.05,4.05,5.78,3.55,B,4.0,5.0,4.0,5.0,2.82,B2,trend_start,falling,2,修复,falling,False,False,rising,3,背离,False,True,rising:3|falling:2,-6.13,83.21,24.13,above_hold,1.76,False,False,6.77,30.9,22.6,5.01,4.2,bull_stack,0.43,0.12,9,45,1.76,1.41,7.73,1.76,3.98,-0.17,-0.22,green_or_zero,True,True,price_turnover_rise,45.65,40.92,55.1,9.45,14.18,False,False,24.27,3.44,above_extended,3.36,3.11,6.27,positive,395.23,1.02,flat
2026-03-02,300053.SZ,,strong,WATCH,WATCH,3.52,3.52,-10.58,-12.2,F,3.0,4.0,3.0,5.0,2.54,B2,rebound,falling,6,修复,falling,False,False,rising,3,背离,False,True,rising:3|falling:6,-18.87,69.74,9.79,above_hold,1.45,False,False,-2.49,6.86,9.6,-1.33,2.66,close_above_ma60,0.16,0.09,17,84,1.45,1.43,9.17,1.45,3.86,-0.26,-0.35,green_or_zero,True,True,price_turnover_rise,29.5,18.72,51.06,21.56,32.34,False,False,20.77,1.03,above,3.27,1.61,-2.45,positive,6065.67,1.01,flat
2026-03-02,300065.SZ,,strong,WATCH,WATCH,4.1,4.1,-5.72,-0.03,E,4.0,5.0,4.0,5.0,2.86,B3,rebound,falling,4,修复,falling,False,False,rising,5,强势转分歧,False,False,rising:5|falling:4,-10.83,71.45,17.32,above_hold,1.05,False,False,10.08,30.75,18.77,3.34,4.06,bull_stack,0.19,0.1,7,45,1.05,0.95,25.04,1.05,-1.44,-0.12,-0.12,green_or_zero,False,False,mixed,41.83,43.53,38.43,-3.4,-5.1,False,False,27.8,3.05,above_extended,1.48,2.56,9.45,neutral,7082.0,0.99,flat
2026-03-02,300448.SZ,,strong,WATCH,WATCH,4.25,4.25,-3.93,2.23,D,4.0,5.0,5.0,5.0,2.86,B3,trend_start,rising,11,强势,rising,False,False,rising,1,强势,False,False,rising:1|rising:11,-1.49,64.37,23.19,above_hold,1.53,False,False,16.59,28.6,10.3,2.0,2.41,bull_stack,0.3,0.21,0,82,1.53,1.97,17.03,1.53,2.0,0.08,0.01,red_expanding,True,False,price_up_turnover_not,66.43,57.84,83.62,17.19,25.78,False,False,10.07,11.28,above_extended,11.45,12.37,16.28,high_positive,3758.52,1.04,flat
2026-03-02,300548.SZ,,strong,WATCH,WATCH,3.63,3.63,-5.43,-9.6,E,4.0,4.0,1.0,5.0,2.44,B2,trend_start,falling,4,背离,falling,False,False,rising,2,背离,False,False,rising:2|falling:4,-11.78,73.11,16.87,above_hold,1.23,False,False,2.71,9.98,7.08,3.56,2.64,bull_stack,0.31,0.25,6,75,1.23,1.14,10.95,1.23,5.84,-1.57,-1.56,green_or_zero,True,True,price_turnover_rise,29.3,37.02,13.86,-15.44,-23.16,False,False,157.04,-0.14,below_near,-0.14,-2.25,2.31,neutral,2577.95,1.0,flat
2026-03-02,300711.SZ,,strong,WATCH,WATCH,3.87,3.87,-5.7,-5.25,E,4.0,3.0,5.0,5.0,2.86,B2,trend_start,falling,2,修复,falling,False,False,rising,1,背离,False,True,rising:1|falling:2,-17.64,45.43,5.16,pullback_confirm,1.89,False,True,4.27,14.06,9.39,-1.65,2.19,bull_stack,0.37,0.08,28,87,1.89,1.65,5.82,1.89,3.8,-0.11,-0.19,green_or_zero,True,True,price_turnover_rise,42.83,38.8,50.88,8.05,12.08,False,False,28.07,3.11,above_extended,3.39,2.87,4.18,positive,1583.49,1.01,flat
2026-03-02,300766.SZ,,strong,WATCH,WATCH,4.11,4.11,-6.02,-2.09,E,4.0,5.0,3.0,5.0,2.9,B3,trend_start,falling,2,修复,falling,False,False,rising,0,背离,False,False,rising:0|falling:2,-11.87,50.0,11.03,above_hold,0.9,False,False,0.85,15.35,14.38,-1.05,1.84,bull_stack,0.22,0.09,27,45,0.9,0.74,12.93,0.9,0.32,-0.51,-0.58,green_or_zero,True,False,price_up_turnover_not,39.52,43.27,32.01,-7.51,-11.26,False,False,44.24,0.7,above,1.14,-0.73,0.65,neutral,4329.51,1.02,flat
2026-03-02,301093.SZ,,strong,WATCH,WATCH,3.96,3.96,-4.81,3.95,D,4.0,5.0,3.0,5.0,2.54,B2,trend_start,falling,8,修复,falling,False,False,rising,5,背离,False,True,rising:5|falling:8,-7.81,144.13,33.84,above_hold,1.27,False,False,4.25,31.51,26.14,3.98,4.32,bull_stack,0.34,0.08,9,88,1.27,1.08,3.37,1.27,5.07,-1.27,-1.59,green_or_zero,True,True,price_turnover_rise,26.81,27.88,24.66,-2.15,-3.22,False,False,80.09,3.33,above_extended,4.91,1.91,3.67,positive,344.83,1.03,flat
